Compound,Life_extended,CAS Number,SMILES
Fumagillol,0,23110-15-8,CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C=C/C=C/C=C/C(=O)O)OC)C
Gamma linolenic acid,0,506-26-3,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O
Gefitinib,0,184475-35-2,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
Glipizide,0,29094-61-9,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
Lactulose,0,4618-18-2,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O
Imatinib,0,152459-95-5,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
Levetiracetam,0,102767-28-2,CC[C@@H](C(=O)N)N1CCCC1=O
,0,,CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C
,0,,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O
,0,,C#CCO[C@@H]1CC[C@@H](N(C1)C(=O)N2N=CC(=N2)C(C3=CC=C(C=C3)F)(C4=CC=C(C=C4)F)O)CC5=CC=CC=C5
,0,,C1CN2C(CN1CC3=CC=C(C=C3)Cl)C(=O)N(C2=O)OC(=O)N4CCOC5=CC=CC=C54
,0,,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)C(F)(F)F.Cl
,0,,COC1=CC(=CC(=C1)/C=C/C2=CC=C(C=C2)O)OC
,0,,CC(=O)N[C@@H](CS)C(=O)O
,0,,C1=CC(=CC=C1N/C(=N/C(=NCCCCCCN=C(/N=C(/NC2=CC=C(C=C2)Cl)\N)N)N)/N)Cl
,0,,C1CCN(C(C1)CC2=CC=CC=C2)C(=O)N3C=C(N=N3)C4=CC=C(C=C4)C5=CC=CC=C5
,0,,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC
,0,,CC(C)(C=C)C1=C(C=C(C(=C1)/C=C/C(=O)C2=CC=C(C=C2)O)OC)O
,0,,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl
,0,,CCN(CC)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)C(F)(F)F)C(=O)CN3C4=C(CCC4)C(=O)N=C3SCC5=CC=C(C=C5)F
,0,,C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1
,0,,CC1=NN=C(S1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
,0,,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N
,0,,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO
,0,,CCCNCC(COC1=CC=CC=C1C(=O)CCC2=CC=CC=C2)O.Cl
,0,,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N
,0,,COC(=O)N1C(=O)[C@@](N1C(=O)OC)(C2CCCC2)C3=CC=CC=C3
,0,,C1CCN(C1)C(=O)N2C=CN=N2
,0,,CCN1C2=CC3=C(C=C2C(=O)C(=N1)C(=O)O)OCO3
,0,,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O
,0,,C1CN(CCC1=CC2=CC(=CC=C2)OC3=NC=C(C=C3)C(F)(F)F)C(=O)NC4=NN=CC=C4
,0,,[C-]#N.[C-]#N.[C-]#N.[C-]#N.[C-]#N.[N-]=O.O.O.[Na+].[Na+].[Fe+4]
,0,,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3
,0,,CC(=O)/C=C\1/C2=CC=CC=C2N(C1=O)C
,0,,COC1=CC=C(C=C1)CCN2CCC(CC2)NC3=NC4=CC=CC=C4N3CC5=CC=C(C=C5)F
,0,,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC
,0,,CCCCCCCCCC[C@H]1[C@@H](OC1=O)CCC2=CC(=C(C=C2)OC)OC
,0,,COCCCC/C(=N\OCCN)/C1=CC=C(C=C1)C(F)(F)F
,0,,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC3=CC=CC=C13)C(C)C.[Br-]
,0,,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC
,0,,COC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CN(N=N3)C(=O)N4CCCCC4C5=CC=CC=C5
,0,,CC1=CC(=C(C=C1)SC2=CC=CC=C2N3CCNCC3)C
,0,,C[C@H]1COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
,0,,C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
,0,,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
,0,,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O
,0,,CCN(CC)CCNC(=O)C1=C(C=CC(=C1)S(=O)(=O)C)OC.Cl
,0,,CC1=CC(=CC=C1)C2CN(CCC3=C(C(=C(C=C23)O)O)Cl)C.Br
,0,,C1=CC=C(C(=C1)C(=O)OC2=CC=CC=C2C(=O)O)O
,0,,C1=CC=C(C=C1)CCC2/C(=C/CCCCC(=O)N)/C(=O)O2
,0,,CC1(C=CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC)C
,0,,CC[N+](CC)(CC)CCOC1=CC=C(C=C1)/C=C/C2=CC=CC=C2.[I-]
,0,,CC1=CC2=C(C=C1)OC/C(=C\C3=CC(=C(C=C3)OC)O)/C2=O
,0,,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N
,0,,C1CN(CCC1C(C2=CC3=C(C=C2)OCO3)(C4=CC5=C(C=C4)OCO5)O)C(=O)OC(C(F)(F)F)C(F)(F)F
,0,,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl
,0,,CCCC[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4)C.[Br-]
,0,,CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O.OS(=O)(=O)O
,0,,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl
,0,,CC(C)C1=CC=CC=C1OC(=O)NCCC2=CC3=CC=CC=C3C=C2
,0,,C[C@@H](C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC5=CNC6=CC=CC=C65)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)[C@H](C(C)C)NC=O
,0,,CC1=[N+](C2=CC=CC=C2C(=C1)N)CCCCCCCCCC[N+]3=C(C=C(C4=CC=CC=C43)N)C.[Cl-].[Cl-]
,0,,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31.Cl
,0,,C[C@@]12CC[C@H]3[C@]([C@@]14[C@H](O4)C(=O)O[C@H]2C5=COC=C5)(C(=O)C[C@@H]6[C@@]37COC(=O)C[C@@H]7OC6(C)C)C
,0,,C1=CC=C(C=C1)CCNN.OS(=O)(=O)O
,0,,C1CC(CCC1NC(=O)COC2=CC=C(C=C2)Cl)NC(=O)COC3=CC=C(C=C3)Cl
,0,,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C
,0,,CCCCCC(=O)O[C@@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)C(=O)C
,0,,CC1(C2CCC(C1C2)CCOCC[N+]3(CCOCC3)CC4=CC(=C(C=C4Br)OC)OC)C.[Br-]
,0,,C[N+](C)(C)CCO.[Cl-]
,0,,CN1CCC2=CC(=C(C=C2[C@H](C1)C3=CC=CC=C3)O)Cl.Cl
,0,,C1=CC=C(C=C1)COC2=NC(=NC3=C2NC=N3)N
